mcts_task_by_completion_reward_gradient,3,2,100,110.673,2880.69
mcts_task_by_completion_reward_gradient,3,2,100,121.873,2958.81
mcts_task_by_completion_reward_gradient,3,2,100,126.475,3032.34
mcts_task_by_completion_reward_gradient,3,2,100,129.594,3102.74
mcts_task_by_completion_reward_gradient,3,2,100,144.046,3158.7
mcts_task_by_completion_reward_gradient,4,2,100,7.11448,192.886
mcts_task_by_completion_reward_gradient,4,2,100,9.50284,383.383
mcts_task_by_completion_reward_gradient,4,2,100,15.9028,567.48
mcts_task_by_completion_reward_gradient,4,2,100,20.303,747.177
mcts_task_by_completion_reward_gradient,4,2,100,24.1128,923.064
mcts_task_by_completion_reward_gradient,4,2,100,33.923,1089.14
mcts_task_by_completion_reward_gradient,4,2,100,35.1024,1254.04
mcts_task_by_completion_reward_gradient,4,2,100,36.3029,1417.74
mcts_task_by_completion_reward_gradient,4,2,100,42.903,1574.83
mcts_task_by_completion_reward_gradient,4,2,100,42.923,1731.91
mcts_task_by_completion_reward_gradient,4,2,100,45.3023,1886.61
mcts_task_by_completion_reward_gradient,4,2,100,54.7233,2031.88
mcts_task_by_completion_reward_gradient,4,2,100,68.7227,2163.16
mcts_task_by_completion_reward_gradient,4,2,100,79.1031,2284.06
mcts_task_by_completion_reward_gradient,4,2,100,93.903,2390.16
mcts_task_by_completion_reward_gradient,4,2,100,98.103,2492.05
mcts_task_by_completion_reward_gradient,4,2,100,107.703,2584.35
mcts_task_by_completion_reward_gradient,4,2,100,122.103,2662.25
mcts_task_by_completion_reward_gradient,4,2,100,136.702,2725.54
mcts_task_by_completion_reward_gradient,5,2,100,0.425504,199.574
mcts_task_by_completion_reward_gradient,5,2,100,3.82416,395.75
mcts_task_by_completion_reward_gradient,5,2,100,9.06403,586.686
mcts_task_by_completion_reward_gradient,5,2,100,14.1928,772.493
mcts_task_by_completion_reward_gradient,5,2,100,19.4232,953.07
mcts_task_by_completion_reward_gradient,5,2,100,24.6239,1128.45
mcts_task_by_completion_reward_gradient,5,2,100,25.0642,1303.38
mcts_task_by_completion_reward_gradient,5,2,100,28.6645,1474.72
mcts_task_by_completion_reward_gradient,5,2,100,32.6234,1642.09
mcts_task_by_completion_reward_gradient,5,2,100,33.7933,1808.3
